iso_i,iso_n,country_i,country_n,date,dD_hat_c,dS_hat_c
FIN,ROW,finland,zz_row,161,0.98151218,0.966144
DEU,AUT,germany,austria,161,1.0143074,1.0084143
DEU,CAN,germany,canada,161,1.109545,1.095464
DEU,CZE,germany,czechrepublic,161,0.92109256,0.91447889
DEU,DNK,germany,denmark,161,0.98528932,1.0041844
DEU,FIN,germany,finland,161,0.95431059,1.0031658
DEU,DEU,germany,germany,161,1,1
DEU,GRC,germany,greece,161,0.99053086,0.93597178
DEU,IND,germany,india,161,1.1036902,1.1231111
DEU,ITA,germany,italy,161,0.9841984,0.98843365
DEU,JPN,germany,japan,161,1.0592947,1.0171213
DEU,MEX,germany,mexico,161,1.1348338,1.0531918
DEU,POL,germany,poland,161,0.98228104,1.0017177
DEU,ROU,germany,romania,161,0.95410923,1.0569005
DEU,KOR,germany,southkorea,161,1.0841247,1.052541
DEU,ESP,germany,spain,161,0.97775361,0.97793278
DEU,SWE,germany,sweden,161,1.0263665,1.1125258
DEU,GBR,germany,unitedkingdom,161,0.97770122,1.0323342
DEU,USA,germany,unitedstates,161,1.0691418,1.0883232
DEU,ROW,germany,zz_row,161,1.004255,1.0217457
GRC,AUT,greece,austria,161,0.93209463,1.0577889
GRC,CAN,greece,canada,161,0.9703944,1.025461
GRC,CZE,greece,czechrepublic,161,0.98719957,0.90540219
GRC,DNK,greece,denmark,161,1.048994,0.95870001
GRC,FIN,greece,finland,161,0.4831029,0.8942888
GRC,DEU,greece,germany,161,1.0514934,1.0190941
GRC,GRC,greece,greece,161,1,1
GRC,IND,greece,india,161,1.0267422,1.2271247
GRC,ITA,greece,italy,161,1.0909722,0.9215669
GRC,JPN,greece,japan,161,1.0659976,0.94290649
GRC,MEX,greece,mexico,161,0.9717201,1.0398253
GRC,POL,greece,poland,161,1.0576105,1.0677008
GRC,ROU,greece,romania,161,0.82950628,1.0899767
GRC,KOR,greece,southkorea,161,0.57310838,1.3682153
GRC,ESP,greece,spain,161,0.79353893,0.87340801
GRC,SWE,greece,sweden,161,1.4110717,1.0851068
GRC,GBR,greece,unitedkingdom,161,1.0085262,0.97877243
GRC,USA,greece,unitedstates,161,1.0087343,1.0722506
GRC,ROW,greece,zz_row,161,0.89228247,1.0641838
IND,AUT,india,austria,161,0.86661864,0.94357989
IND,CAN,india,canada,161,0.98098122,1.0429871
IND,CZE,india,czechrepublic,161,0.77637619,0.90642422
IND,DNK,india,denmark,161,0.84710335,0.89102348
IND,FIN,india,finland,161,0.87248612,0.91297642
IND,DEU,india,germany,161,0.90360144,0.90782809
IND,GRC,india,greece,161,1.0211415,0.77433561
IND,IND,india,india,161,1,1
IND,ITA,india,italy,161,0.96725462,0.86387317
IND,JPN,india,japan,161,1.1112722,0.93641211
IND,MEX,india,mexico,161,0.97260038,0.92776451
IND,POL,india,poland,161,0.9280943,0.94179904
IND,ROU,india,romania,161,1.4606639,0.9218009
IND,KOR,india,southkorea,161,0.9781122,0.89386624
IND,ESP,india,spain,161,0.94794398,0.84901902
IND,SWE,india,sweden,161,0.9186127,0.98566351
IND,GBR,india,unitedkingdom,161,0.94092799,0.93778143
IND,USA,india,unitedstates,161,1.016314,0.93001671
IND,ROW,india,zz_row,161,0.95585215,0.79631151
ITA,AUT,italy,austria,161,1.0133883,1.0012826
ITA,CAN,italy,canada,161,1.0716205,1.0714877
ITA,CZE,italy,czechrepublic,161,0.90088353,0.88637463
ITA,DNK,italy,denmark,161,1.0040785,1.0041913
ITA,FIN,italy,finland,161,0.95425548,1.0124118
ITA,DEU,italy,germany,161,0.99459081,1.0148413
ITA,GRC,italy,greece,161,0.99947313,0.96885672
ITA,IND,italy,india,161,1.0716008,0.99822475
ITA,ITA,italy,italy,161,1,1
ITA,JPN,italy,japan,161,1.0628465,1.0513094
ITA,MEX,italy,mexico,161,1.0515925,1.0756286
ITA,POL,italy,poland,161,0.99194951,0.98336473
ITA,ROU,italy,romania,161,0.95298211,1.0850308
ITA,KOR,italy,southkorea,161,0.98348114,1.0261343
ITA,ESP,italy,spain,161,0.96712594,0.95713165
ITA,SWE,italy,sweden,161,1.0070243,1.0741215
ITA,GBR,italy,unitedkingdom,161,1.0069855,1.0424699
ITA,USA,italy,unitedstates,161,1.0576382,1.0647383
ITA,ROW,italy,zz_row,161,1.0510226,1.0363589
JPN,AUT,japan,austria,161,0.88212396,0.85330288
JPN,CAN,japan,canada,161,0.98516203,1.0403998
JPN,CZE,japan,czechrepublic,161,0.91773645,0.80811175
JPN,DNK,japan,denmark,161,0.95058904,0.94995705
JPN,FIN,japan,finland,161,0.99324517,0.90156774
JPN,DEU,japan,germany,161,0.94197949,0.92262546
JPN,GRC,japan,greece,161,0.93743102,0.87805323
JPN,IND,japan,india,161,1.0369648,1.009967
JPN,ITA,japan,italy,161,0.92628424,0.93434033
JPN,JPN,japan,japan,161,1,1
JPN,MEX,japan,mexico,161,1.0116301,1.0023129
JPN,POL,japan,poland,161,0.913993,0.90431326
JPN,ROU,japan,romania,161,0.81551987,0.90203246
JPN,KOR,japan,southkorea,161,0.97436747,1.0079639
JPN,ESP,japan,spain,161,0.87103771,0.90159867
JPN,SWE,japan,sweden,161,0.97879476,0.987429
JPN,GBR,japan,unitedkingdom,161,0.97702929,0.9218889
JPN,USA,japan,unitedstates,161,0.97329773,0.97730742
JPN,ROW,japan,zz_row,161,0.94736409,0.96939246
MEX,AUT,mexico,austria,161,0.75216047,0.97035452
MEX,CAN,mexico,canada,161,0.96505159,1.0280677
MEX,CZE,mexico,czechrepublic,161,0.81206925,0.73867158
MEX,DNK,mexico,denmark,161,1.0812646,0.96323059
MEX,FIN,mexico,finland,161,0.92966434,0.86329217
MEX,DEU,mexico,germany,161,1.0390468,0.87044689
MEX,GRC,mexico,greece,161,1.0093259,0.77228149
MEX,IND,mexico,india,161,0.86067314,1.0485741
MEX,ITA,mexico,italy,161,0.82127356,0.99247718
