iso,country,date,L_hat_c,phistar_hat_c,psiS_hat_c,psiR_hat_c,DR2_c,chiC_hat_c,chiD_hat_c,AC_hat_c,AD_hat_c,AS_hat_c,kC_hat_c,kD_hat_c
AUT,austria,194,1.0066339,0.96073601,1.0148257,0.99696558,-0.0001122,0.97961443,0.96949351,0.98370264,1.0422576,0.99760765,1.0037426,1.004666
AUT,austria,195,0.99731511,0.92852768,0.99301992,1.0014542,-0.000296,0.9470063,0.97544216,0.98088122,1.0463805,1.008552,1.0033481,1.0030961
AUT,austria,196,1.0022026,1.017168,0.93297223,1.013847,-0.00026198,1.0438498,0.9602239,0.97800053,1.0929559,1.0061902,1.0024327,1.0029451
AUT,austria,197,0.996337,1.0340362,0.91553814,1.0160567,-0.00023274,0.97971665,0.96134226,0.9842673,0.95330142,0.96549961,1.0031777,1.0000129
AUT,austria,198,0.9997549,1.0295429,1.0562584,0.99036299,-0.00019915,1.0176925,0.9950783,0.99569609,0.94420899,1.0258573,1.0023831,0.99787741
AUT,austria,199,0.99828389,0.99135907,1.0400924,0.99267525,-0.0002115,1.00509,1.0161269,0.99560713,1.0136848,1.0254488,1.0024664,0.99693781
AUT,austria,200,1.0019646,0.96376452,1.1045704,0.97998278,-0.00020173,0.9449095,0.92494496,0.98805712,0.96772059,1.0267231,1.0024627,0.99767946
AUT,austria,201,0.9995098,0.92655783,1.0812132,0.98247748,-0.00016001,0.95269969,0.98246092,0.99900324,0.91432919,0.98822963,1.0015283,0.99534561
AUT,austria,202,1.0002452,0.99862496,1.0364779,0.99133858,-0.00010708,0.98871069,1.0015217,1.0014292,0.98300234,1.0186648,1.0010622,0.99607937
AUT,austria,203,1.0058838,1.0406694,1.0553903,0.98624911,-0.00010615,1.0190079,1.0146008,1.00546,1.0221903,1.0143185,1.0008822,0.99647763
AUT,austria,204,1.0060931,0.98908777,1.0098628,0.99737987,-0.00014803,1.0099407,1.0805653,1.0062775,1.0232614,0.99455745,1.0011009,0.9968278
AUT,austria,205,0.9995155,1.0266276,1.0177482,0.99522603,-0.00008463,1.0485254,1.0125363,1.0033318,1.0137018,0.99753193,1.0012622,1.0009086
AUT,austria,206,1.002666,0.95748852,0.93560161,1.0177141,-0.00012762,0.97202468,1.0198631,0.99762978,0.99406525,0.95710611,1.0021359,1.0009095
AUT,austria,207,1.0036258,0.97928326,0.97891174,1.0053327,-0.00010364,0.99181697,0.95369287,0.99530662,1.0772453,0.99366966,1.001714,1.0029319
AUT,austria,208,1.0019268,1.0002098,0.90360798,1.0237347,-0.00005088,0.95447573,0.96387861,0.99855361,0.91521213,0.98085966,1.0017667,1.0008887
AUT,austria,209,1.0036058,0.97631855,1.1825991,0.96031432,-0.0001017,0.99698704,0.98167088,1.0011184,1.0583465,1.0537734,1.0009126,0.99950776
AUT,austria,210,1.0028743,0.97141807,0.93059774,1.0185752,-0.00008081,0.98219131,0.94254469,0.9998705,0.9408603,0.97327215,1.0010214,0.99893312
AUT,austria,211,1.0002388,1.0175255,0.98554588,1.0035344,-0.00013265,1.0224619,1.0283058,0.99198366,1.0890557,1.0097473,1.0009519,0.99685506
CAN,canada,161,1.0079679,1.0091827,1.0521291,0.98913987,-0.00158079,0.99928684,0.98680443,0.99914594,1.0329162,1.0135382,0.99786348,0.99736327
CAN,canada,162,1.0041569,1.0166216,1.0158562,0.9964863,-0.0016276,1.0101579,0.99624612,1.0069251,1.0539761,1.0173537,0.99784441,0.99731365
CAN,canada,163,1.0028503,0.97846963,1.0740028,0.98328235,-0.00178452,0.99498621,0.97673128,1.0056184,0.9869722,0.99897981,0.99798904,0.99756716
CAN,canada,164,1.0066318,1.0024972,0.98152949,1.0045576,-0.00199409,0.98817318,0.93356151,1.0226726,1.0019914,0.9935549,0.99806027,0.99690674
CAN,canada,165,1.0012549,1.0197079,0.9829072,1.0041209,-0.00170219,1.0179667,1.0040713,0.99902539,1.0045961,1.0039837,0.99817302,0.9944892
CAN,canada,166,1.0028199,0.99347451,0.94507805,1.0129615,-0.00132674,0.99636124,0.95304919,0.98995415,1.0088571,0.99739517,0.99842845,0.99448051
CAN,canada,167,1.0011605,0.97689754,0.97679971,1.0051083,-0.00120694,0.97722855,0.92136072,0.98976035,0.96627505,0.99797494,0.99851369,0.99303496
CAN,canada,168,1.0012706,0.99876417,1.0178006,0.996191,-0.00135251,1.0081981,1.0261444,0.9984258,1.0238936,1.0143061,0.99838001,0.99091526
CAN,canada,169,1.0065231,1.0250831,1.0077204,0.99831215,-0.00136915,1.004463,1.0189842,1.0041116,0.99975732,1.0171417,0.99841867,0.99193354
CAN,canada,170,1.0107941,0.98312647,1.0088753,0.99804137,-0.00127227,0.97500102,0.93671374,0.99059414,1.0052797,0.99922218,0.99848209,0.99307366
CAN,canada,171,1.0105913,1.0076821,0.98545619,1.0032444,-0.00147091,0.99693185,1.0020363,1.0053915,1.0055614,1.0051411,0.9982735,0.99158679
CAN,canada,172,1.0061279,1.0103794,1.0258425,0.9943373,-0.00156481,1.0024994,0.97115428,0.99482924,1.0302873,1.0130081,0.99827362,0.99200608
CAN,canada,173,1.0062843,1.0514883,1.0023047,0.99947899,-0.00135813,1.0565898,0.98899122,0.97296336,1.0238146,1.0013433,0.99830966,0.99162426
CAN,canada,174,1.0009196,1.0109351,0.91252842,1.0198303,-0.00130933,1.0075817,0.97002844,1.0154641,1.0442503,1.0213663,0.99887083,0.99145065
CAN,canada,175,1.0042308,1.0088223,1.0071839,0.99854272,-0.00131534,1.0204625,1.0021112,1.0041225,1.007457,1.0100596,0.99906348,0.99042123
CAN,canada,176,1.0075322,0.97575929,0.97185845,1.005758,-0.00129342,0.98021779,0.96882676,1.0181143,0.983336,1.0015471,0.9994215,0.99085648
CAN,canada,177,1.0029566,0.98659858,0.99547021,1.0008956,-0.00141373,0.990592,0.99720753,1.0287299,0.97065803,0.99506823,0.99941254,0.99019372
CAN,canada,178,1.0051798,1.0400178,0.99428325,1.0011241,-0.00145623,1.0314826,1.043172,1.0129595,1.023021,1.0122835,0.99946581,0.99008328
CAN,canada,179,1.0026813,1.0492243,0.95728586,1.0083419,-0.00149311,1.054424,1.0065621,0.98413138,1.0431956,1.018205,0.99990623,0.99143559
CAN,canada,180,1.00328,0.98139437,0.98680778,1.0024459,-0.00122088,0.99035411,0.98038442,0.99302209,0.99801169,0.99714103,1.0005547,0.99192309
CAN,canada,181,1.0012494,1.0025658,0.97022692,1.0054341,-0.00132029,1.0111487,0.99283432,0.99897603,0.98852541,1.0022978,1.0005081,0.99181973
CAN,canada,182,1.003494,1.0548949,0.99713395,1.0005048,-0.00168004,1.0551948,0.99329142,0.99116488,1.0332555,1.0286756,1.0007075,0.99195672
CAN,canada,183,1.0054714,1.0343433,0.99045783,1.0016749,-0.0020853,1.0498045,1.0155244,0.99729465,1.0044782,1.0020207,1.0013357,0.99173544
CAN,canada,184,1.0036277,1.0239735,1.0080718,0.99859901,-0.00159339,1.0174806,0.99812543,0.99583661,0.99477508,1.0021274,1.0019637,0.99198025
CAN,canada,185,1.0019511,1.0088649,0.97937692,1.0036134,-0.00153333,1.0329119,1.0250625,0.98349385,1.0046838,1.0065534,1.0022984,0.99202409
CAN,canada,186,1.0089165,0.99065082,0.93718211,1.0107406,-0.00152419,1.0161271,0.98128345,0.98084529,0.992478,0.99619255,1.0027626,0.99289988
CAN,canada,187,1.0028443,0.96559744,0.91649918,1.013238,-0.0014472,0.99722004,0.94112524,0.97973585,0.98423567,0.98142459,1.0030079,0.99249305
CAN,canada,188,1.0042746,0.96408864,0.97839611,1.003098,-0.00142667,0.98008388,0.96614864,1.0057963,1.0036941,0.98821182,1.0030582,0.99100026
CAN,canada,189,1.0090777,1.0493898,0.95008966,1.0069809,-0.0014485,1.0689151,1.0065911,0.97913085,1.0454088,1.0239167,1.0029773,0.99062935
CAN,canada,190,1.004498,1.0435617,1.008057,0.99893673,-0.00135841,1.059079,1.0000507,0.96481596,1.0039953,1.0086576,1.0039467,0.99072681
CAN,canada,191,1.0056322,1.0372584,0.96559963,1.0045812,-0.00146756,1.027548,0.9840596,0.9853067,1.0284219,1.0124096,1.004814,0.99107327
CAN,canada,192,1.0059766,0.97410137,0.9577646,1.0054063,-0.00159965,0.95728486,0.95492138,1.0262662,0.99709396,0.99188369,1.0051366,0.99094219
CAN,canada,193,1.0055674,0.97639434,1.0295027,0.99640246,-0.00193602,0.98100945,1.0219141,1.0109105,1.0183375,1.0098025,1.0045361,0.98993352
CAN,canada,194,1.0026607,0.98460402,1.0579677,0.99269666,-0.00200642,0.99279903,1.0039824,1.0063727,0.98022675,0.97555758,1.004186,0.99112947
CAN,canada,195,1.0012292,0.90609656,0.96751949,1.0043613,-0.00121546,0.95413166,0.91841394,0.95446501,0.93956443,0.94506649,1.0041235,0.99144581
CAN,canada,196,0.99986358,0.98050697,1.0257458,0.99666982,-0.00086036,1.0572489,0.85643567,0.89798462,1.0048803,0.98989881,1.0035618,0.98966665
CAN,canada,197,0.98542109,1.0345415,0.98769461,1.0016381,-0.00086692,1.0671201,0.96543409,0.96655302,1.0426373,1.0346961,1.0040758,0.98546893
CAN,canada,198,0.99556953,1.0314994,0.99590347,1.0005377,-0.00100254,1.0391465,1.0337652,1.0016628,0.96312447,1.0182233,1.0049959,0.98465679
CAN,canada,199,0.99998013,1.0293585,0.96102228,1.0050929,-0.00111041,0.96885391,0.99049479,1.056723,1.0183721,1.0200165,1.0056782,0.98547956
CAN,canada,200,1.0045496,1.0628369,0.95636479,1.0054514,-0.00083038,0.99515837,1.0349463,1.0515712,1.0145868,1.009412,1.005276,0.98553936
CAN,canada,201,1.0034413,1.0314245,0.98632476,1.0016251,-0.00079865,1.0141605,1.0742936,1.0174817,0.99891755,1.0012156,1.0052388,0.98621095
CAN,canada,202,1.0071545,0.9599307,1.0062025,0.9992742,-0.00086721,0.9416498,1.0010488,1.0178395,0.96807139,0.9841356,1.0053771,0.98791853
CAN,canada,203,1.0036399,0.99968045,0.91946181,1.0094897,-0.00092899,1.013115,0.94019738,0.99953747,1.0138579,1.0054299,1.0044723,0.9889544
CAN,canada,204,1.0029053,1.0263568,1.0285883,0.99693189,-0.00098977,1.053154,1.0463061,0.99893845,1.0365444,1.0188858,1.0047605,0.98734225
CAN,canada,205,1.0054049,0.98664749,0.99748358,1.0002786,-0.00086652,1.0161266,0.98665622,0.97501153,1.0223329,0.99289512,1.0057396,0.98855098
CAN,canada,206,1.0032294,0.97851019,1.0494758,0.99453694,-0.00127993,1.0021353,0.98784927,1.0033777,0.96514667,1.0037642,1.0060223,0.98870743
CAN,canada,207,1.0035466,0.98607967,0.96771682,1.0037616,-0.00128819,0.98795275,0.9739379,1.00263,1.0165072,1.0000996,1.0061709,0.98873088
CAN,canada,208,0.99975031,1.0343684,1.0049963,0.99943874,-0.00120576,1.0276391,1.037718,1.0095509,1.0120483,1.0136937,1.0059781,0.98842952
CAN,canada,209,1.0020557,0.99845898,0.97430146,1.0029029,-0.00092643,0.99820683,0.99971693,1.0029362,1.0098926,0.99434843,1.0065091,0.98947128
CAN,canada,210,1.0065187,1.0133293,1.0275485,0.99697689,-0.00104386,1.020178,0.99628781,0.98658569,0.98324667,1.007163,1.0065398,0.98978093
CAN,canada,211,1.0014667,0.99473164,0.97190391,1.0031777,-0.0010718,0.99825148,0.92969677,0.99899685,1.0000789,0.99796001,1.0068077,0.98981779
CHN,china,185,1.0008671,0.97657238,0.95303971,1.0182751,0.00455606,1.0009665,0.99638118,0.99208187,1.0210216,1.0261084,0.99972592,0.99885942
CHN,china,186,1.0008663,0.97666224,0.97249029,1.0100198,0.00389088,1.0292082,1.0054238,0.99148785,1.0034838,1.0101698,0.99975413,0.99949198
CHN,china,187,1.0008656,1.0459673,0.89979849,1.0351402,0.00327006,1.0162217,0.96838645,1.0242661,1.021951,1.0302205,1.0002199,1.0000215
CHN,china,188,1.0011696,1.1539149,1.1092587,0.96669329,0.00652218,0.97715387,1.0188776,1.0201716,1.0171002,1.0299667,1.0006921,0.998572
CHN,china,189,1.0011682,0.97666006,0.99367994,1.0022108,0.00487449,1.0222593,0.99259642,1.0181314,1.0285363,1.0294946,1.0002842,1.0001451
CHN,china,190,1.0011669,1.016793,0.92575476,1.0257499,0.00443311,1.0088124,1.0017992,1.0142256,1.0129838,1.0178059,1.0009947,1.0007281
CHN,china,191,1.0011655,1.0317197,0.95766421,1.0132516,0.00450226,1.0133569,0.98171676,1.0146371,1.0263602,1.0254509,1.0013281,1.0015136
CHN,china,192,1.0007564,1.1001153,1.1719585,0.94912771,0.00839351,1.0576018,1.0875327,1.0151764,1.013304,1.0149512,1.0018784,1.0013832
CHN,china,193,1.0007558,1.0139314,1.0917237,0.96649369,0.00735139,1.018872,1.043514,1.012942,1.0208668,1.0173534,1.0029209,1.0058146
CHN,china,194,1.0007553,1.0371343,0.98920801,1.0044531,0.00690727,1.0455091,1.014314,0.99996068,1.0062194,1.004958,1.0032163,1.0084095
CHN,china,195,1.0007547,1.1052736,0.80412307,1.0795976,0.00417372,1.1030758,0.96006041,0.94940312,1.0297068,1.0245007,1.003863,1.0079868
CHN,china,196,1.000047,0.99381073,1.1250932,0.96213732,0.00603121,1.1032493,1.0491126,0.93794363,1.0208191,1.0226348,1.0052234,1.0040933
CHN,china,197,1.000047,1.0191312,1.1395355,0.95061288,0.00580001,0.96801255,1.0238171,0.97593033,1.0274749,1.0293509,1.0075348,1.0084907
CHN,china,198,1.000047,0.96480528,0.88733087,1.0478033,0.00588138,1.04007,0.98128723,0.98711759,1.0092077,1.0236546,1.0065642,1.013632
CHN,china,199,1.000047,1.0045779,0.92733247,1.0261095,5.57E-03,0.96556652,0.97537841,1.0355979,0.99567664,0.99890358,1.0080809,1.0137047
CHN,china,200,1.0009644,1.0603611,1.2476246,0.91959289,0.00931069,1.0354531,1.1121389,1.0375331,0.99364493,0.9879464,1.0074717,1.011215
CHN,china,201,1.0009635,1.0006435,1.0134849,0.99405933,0.00840353,1.0692897,1.039876,1.0252749,1.0045969,1.0108405,1.0084238,1.0178607
CHN,china,202,1.0009626,1.0505825,0.88438434,1.0519291,0.00729512,0.94563974,0.958893,1.0102652,1.0128029,1.0127923,1.0106347,1.0194623
CHN,china,203,1.0009616,1.0153841,1.0497566,0.98121119,0.00768899,1.0139416,0.9941017,1.0092566,1.0141291,1.0002042,1.0088836,1.0168539
CHN,china,204,0.99996566,1.0671122,1.1804809,0.92708683,0.01211414,1.0185365,1.1162165,1.0157909,1.0059033,1.0125075,1.009545,1.0166151
CHN,china,205,0.99996565,0.9624845,0.9797816,1.0104006,0.01029587,1.0332278,0.97235702,1.0011143,1.0208443,1.0238595,1.0098307,1.0261357
CHN,china,206,0.99996565,1.0590061,0.88814444,1.0557964,0.00938343,1.0381736,0.99849448,1.0003831,1.0079688,1.0151501,1.01134,1.0243015
CHN,china,207,0.99996565,1.0764768,0.91007726,1.037733,0.0102675,1.073959,1.0054938,0.96390472,1.0177145,1.0225992,1.0124559,1.0229867
CHN,china,208,1.0009302,0.98681425,1.2533669,0.90676161,0.01360545,1.0613436,1.0496443,0.9638623,1.0068493,1.0194749,1.0143576,1.0227788
CHN,china,209,1.0009293,1.0126626,0.82792209,1.0875296,0.01238663,1.0080626,0.98023069,0.97726268,1.0115991,1.0181375,1.0163512,1.0283135
CHN,china,210,1.0009285,1.0183128,0.88171277,1.0458054,0.00975706,1.0294372,0.96643309,0.97911461,1.007646,1.0088696,1.0158851,1.025707
CHN,china,211,1.0009276,1.0269017,0.90034277,1.0325359,0.01062098,1.0031615,0.99345825,1.0064451,1.0050219,1.0011859,1.0169249,1.0228372
CZE,czechrepublic,161,0.99553001,1.0279748,0.79366887,1.0951054,0.00002898,0.86709507,0.85672399,1.0541521,0.90207152,0.95070878,0.99718336,0.9931138
