iso,country,date,rho,psiC,psiD,psiN,alphaC,alphaD,deltaC,deltaD,thetaD,thetaS,betaTilLC,betaTilLD,betaTilLS,betaTilLR,betaTilKCC,betaTilKDC,betaTilKSC,betaTilKRC,betaTilKCD,betaTilKDD,betaTilKSD,betaTilKRD,betaTilICC,betaTilICD,betaTilICS,betaTilIDC,betaTilIDD,betaTilIDS,betaTilISC,betaTilISD,betaTilISS,betaTilIRC,betaTilIRD,betaTilIRS,DC1,DD1,DS1,DR1,xFC1,xFD1,xFS1,xFR1,xC1,xD1,xS1,xR1,yC1,yD1,yS1,yR1,gdp,labinc1,capCinc1,capDinc1,L_hat
AUT,austria,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.33979426,0.30140842,0.33954448,0.45935468,0.13002726,0.09616262,0.12693264,0.17059432,0.17026665,0.12592195,0.16621434,0.22338794,0.09063316,0.22409746,0.04518121,0.01430895,0.39731872,0.06487935,0.01823147,0.07074091,0.27833615,0.03817266,0.0483046,0.06018581,0,-0.0003148,0.00001317,-0.00009248,0.00081627,0.00085126,0.00054264,0.00318709,0.00110534,0.00244936,0.00133807,0.00686865,0.00110534,0.00276416,0.0013249,0.00696113,0.0078559,0.00316508,0.00320172,0.00196285,1.0044133
CAN,canada,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.39772635,0.29058317,0.3497068,0.46062419,0.11161075,0.09097699,0.12151794,0.18128061,0.1461508,0.11913153,0.15912395,0.23738131,0.00783276,0.25955764,0.0771217,0.00742516,0.42747913,0.06440402,0.00899117,0.05495862,0.30570153,0.02133009,0.03366974,0.06571406,0,0.00037827,0.0001365,-0.00162475,0.0040957,0.00353546,0.00231421,0.01320805,0.00456777,0.00940087,0.00602129,0.02769911,0.00456777,0.00902261,0.00588479,0.02932385,0.03285552,0.01332884,0.01332679,0.00817151,1.0019511
CHN,china,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.22060215,0.13810616,0.18643494,0.32769639,0.09960895,0.09660963,0.13073908,0.16484024,0.13043481,0.1265073,0.17119874,0.21585315,0.00702245,0.27787129,0.26446036,0.00492904,0.50449199,0.12935589,0.0075243,0.09272981,0.41137314,0.02052936,0.12974023,0.14134062,0,-0.00496984,-0.00284443,0.00540973,0.01119107,0.01615142,0.00631384,0.01622427,0.01206398,0.05409345,0.03371087,0.06292442,0.01206398,0.05906329,0.0365553,0.05751469,0.06476077,0.02117741,0.02594528,0.02050082,1.0008671
CZE,czechrepublic,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.22821125,0.18829192,0.22324212,0.3727528,0.11131362,0.08002353,0.1058494,0.18288565,0.14576171,0.10478832,0.13860649,0.23948306,0.28084588,0.18617339,0.04769415,0.01253207,0.51075629,0.10360787,0.01634285,0.08463602,0.43132311,0.05050203,0.07883798,0.07553848,0,-0.00034705,0.00012646,0.00008955,0.00041944,0.0005315,0.00034118,0.00122441,0.00072884,0.00208761,0.00115948,0.00358569,0.00072884,0.00243466,0.00103302,0.00349614,0.00351419,0.00127839,0.00145947,0.00097518,1.0033389
DNK,denmark,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.44971563,0.37107702,0.39379926,0.52516225,0.08541444,0.06485949,0.10111125,0.14677451,0.11184755,0.08493148,0.13240203,0.19219664,0.02161463,0.28103726,0.05037049,0.01234595,0.39806232,0.06872375,0.01958653,0.05957304,0.29352789,0.04104912,0.03443675,0.06038073,0,0.00019598,-0.0001924,-0.00026485,0.00061511,0.00051505,0.00030519,0.00306308,0.00080693,0.00140841,0.00097184,0.00639704,0.00080693,0.00121243,0.00116424,0.00666189,0.00662416,0.00301897,0.00261819,0.00141482,1.0025153
FIN,finland,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.356297,0.28705294,0.32796,0.46941814,0.09352747,0.09542495,0.11265896,0.16155271,0.1224713,0.124956,0.1475234,0.21154824,0.08413665,0.28423248,0.0593351,0.00845396,0.40931077,0.07480137,0.01122194,0.07681489,0.3238208,0.03413468,0.04605394,0.07729229,0,-0.00025302,-0.00016392,0.00018633,0.00062614,0.00067116,0.00031246,0.00194144,0.0007847,0.00198485,0.00105765,0.00449856,0.0007847,0.00223786,0.00122157,0.00431223,0.00502943,0.00214648,0.00195572,0.00121352,1.012551
FRA,france,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.37018445,0.31312944,0.37220815,0.4941793,0.11607402,0.07732508,0.10948077,0.16509708,0.15199532,0.10125478,0.14336165,0.21618948,0.12498517,0.18466892,0.05209212,0.00764549,0.41288193,0.08776328,0.00935027,0.07443017,0.291169,0.01604044,0.04777219,0.06072151,0,-0.00002747,-0.00033111,0.00090139,0.00587341,0.00400203,0.0041888,0.02500099,0.00737567,0.0124512,0.01019701,0.05017129,0.00737567,0.01247868,0.01052812,0.0492699,0.05468001,0.02246598,0.02311003,0.01281164,1.0025288
DEU,germany,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.38557821,0.33855098,0.36684055,0.46608352,0.11426629,0.07877679,0.1231783,0.19025535,0.14962815,0.10315575,0.16129814,0.24913345,0.04250889,0.23595652,0.07206195,0.00822969,0.40761666,0.06367015,0.01005928,0.05902299,0.27960075,0.0183225,0.03574658,0.04045861,0,-0.0065245,-0.00090773,0.00423467,0.00460649,0.00869179,0.00606704,0.0285291,0.00569172,0.02432417,0.0134343,0.06087035,0.00569172,0.03084868,0.01434202,0.05663569,0.07024217,0.02922292,0.02861949,0.0167941,1.0121067
GRC,greece,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.24905343,0.26214322,0.30887004,0.33438892,0.17651215,0.13958179,0.18446997,0.23891,0.23113716,0.18277801,0.24155767,0.3128452,0.0049588,0.29421259,0.04412587,0.01443065,0.3392882,0.06177812,0.01475776,0.05960674,0.19073783,0.01732987,0.03629064,0.06023537,0,0.00048802,0.0002782,0.00028699,0.00086287,0.00057982,0.0008812,0.00295035,0.0009408,0.00128743,0.00133388,0.00520078,0.0009408,0.0007994,0.00105568,0.00491378,0.00634192,0.00166054,0.00322959,0.00193847,1.0068275
IND,india,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.35373758,0.15428985,0.17176474,0.26578223,0.12230994,0.15725282,0.19129364,0.2747376,0.16016106,0.20591766,0.25049305,0.35976032,0.03105504,0.29746944,0.03526695,0.01710348,0.4033586,0.06207758,0.01521396,0.04763944,0.32359516,0.01495494,0.03720093,0.04756398,0,0.00065446,-0.0004698,0.00024516,0.00378702,0.00260248,0.00275789,0.00794735,0.00423532,0.00699967,0.0056468,0.01912977,0.00423532,0.0063452,0.0061166,0.01888461,0.02259064,0.00557491,0.0107277,0.00764779,1.0005164
ITA,italy,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.25698302,0.27416379,0.26916106,0.35877923,0.15707067,0.10613287,0.12142916,0.21012561,0.20567915,0.13897768,0.15900771,0.27515293,0.0969846,0.23734084,0.04594172,0.01361576,0.38769481,0.07941508,0.01630075,0.0813216,0.35277972,0.02557311,0.05476243,0.0756067,0,-0.00095444,-0.00018424,0.00166225,0.00520682,0.00626968,0.00508222,0.01710919,0.00669315,0.01648739,0.01237253,0.04160515,0.00669315,0.01744183,0.01255676,0.0399429,0.04542808,0.01542378,0.01995674,0.01286628,1.0096095
JPN,japan,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.46124373,0.2665205,0.30403859,0.46134495,0.10049399,0.0933444,0.14239732,0.18557571,0.13159375,0.12223159,0.18646485,0.2430056,0.00586303,0.25454689,0.04625861,0.00696983,0.44905335,0.06188033,0.00833903,0.0413752,0.317385,0.01519061,0.02581254,0.06907059,0,-0.0070454,0.0010905,0.00472017,0.01459084,0.01346245,0.01004345,0.04287382,0.01578417,0.04093953,0.02348633,0.08598203,0.01578417,0.04798493,0.02239583,0.08126186,0.11149689,0.04448051,0.04562643,0.02811142,1.0026737
MEX,mexico,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.25492285,0.1656091,0.21985811,0.2908334,0.17314335,0.13091523,0.20358856,0.26589463,0.22672582,0.17142942,0.26659287,0.34818073,0.06586158,0.22665329,0.05269311,0.00165961,0.4298762,0.10051044,0.00248492,0.05250574,0.25496981,0.00211364,0.03931271,0.05366489,0,-0.00013629,0.00074128,-0.00046569,0.00305812,0.00267301,0.00404605,0.00827184,0.00332347,0.00729543,0.00704406,0.01607218,0.00332347,0.00743172,0.00630278,0.01653786,0.0247281,0.00600487,0.01197319,0.00831464,1.0215464
POL,poland,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.19099507,0.21557292,0.24401491,0.31616428,0.13964864,0.11209292,0.14125969,0.21360219,0.18286554,0.14678219,0.18497516,0.27970541,0.18329399,0.18960357,0.11359319,0.02230134,0.40089971,0.10235091,0.01868213,0.08325903,0.32780906,0.03391752,0.07271172,0.08389889,0,-0.00008173,0.00020394,-7.10E-07,0.00080381,0.00103294,0.00105404,0.00315979,0.00124945,0.00288045,0.00252527,0.00757415,0.00124945,0.00296218,0.00232133,0.00757486,0.00826158,0.00244288,0.00384203,0.00251191,1.0025192
ROU,romania,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.26739141,0.30396414,0.28909106,0.32983691,0.16269771,0.12435871,0.14998604,0.19722915,0.21304757,0.16284385,0.19640205,0.25826542,0.08887432,0.20136841,0.06662058,0.00982425,0.30217831,0.09683075,0.00709431,0.06036829,0.29705825,0.01286042,0.08149433,0.12031376,0,0.00016903,0.00010132,0.00002261,0.00028237,0.00050673,0.00034604,0.00112653,0.00033905,0.00093813,0.00077648,0.0025381,0.00033905,0.0007691,0.00067517,0.00251549,0.00278384,0.00088374,0.00128492,0.00080223,0.9978746
KOR,southkorea,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.33906948,0.17673874,0.23737972,0.37724989,0.11047279,0.08656133,0.12858398,0.20071553,0.14466067,0.11334936,0.16837672,0.26283073,0.00258339,0.34573562,0.05747805,0.00265318,0.54612256,0.07457483,0.00495158,0.05008174,0.41062625,0.0140859,0.04846138,0.09665658,0,-0.00237578,-0.00003353,0.00207906,0.00362443,0.00399248,0.00234981,0.00774122,0.00380073,0.01600088,0.00763482,0.01999178,0.00380073,0.01837666,0.00766835,0.01791271,0.02362394,0.00849294,0.00971884,0.00669391,1.0066037
ESP,spain,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.23674636,0.26421878,0.31330487,0.41937196,0.08204038,0.08317144,0.11092769,0.1775927,0.10742932,0.10891041,0.14525635,0.2325521,0.35933838,0.18450855,0.02993701,0.01227683,0.43597217,0.09545036,0.01907988,0.08162572,0.32980549,0.03542891,0.04861518,0.08643916,0,0.00118747,0.00047591,0.00026433,0.00536329,0.00331526,0.00298133,0.011775,0.00938278,0.01002002,0.00737593,0.024669,0.00938278,0.00883255,0.00690002,0.02440467,0.02967532,0.01154413,0.01248215,0.00752337,1.0093173
SWE,sweden,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.49979963,0.34068327,0.37585116,0.51249292,0.06974477,0.08142315,0.1133699,0.13757586,0.09132861,0.10662108,0.14845435,0.18015131,0.02369922,0.27502149,0.04040628,0.01749617,0.38781249,0.06596384,0.01848984,0.08384828,0.25998646,0.03766635,0.07360179,0.05851177,0,-0.00058593,-0.00019727,-0.00004998,0.00068341,0.00098604,0.00060096,0.00393068,0.00095386,0.00313235,0.00157967,0.00886535,0.00095386,0.00371828,0.00177694,0.00891533,0.00954269,0.00445142,0.0036268,0.00204008,1.0153713
GBR,unitedkingdom,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.30351724,0.40651945,0.45312641,0.52512605,0.10415915,0.06584575,0.0918672,0.14405276,0.13639316,0.08622296,0.12029723,0.1886326,0.29841763,0.11090879,0.04660402,0.01032953,0.35290049,0.07818183,0.01151983,0.06212142,0.26106791,0.02615345,0.04997402,0.06606112,0,0.00022706,0.00102512,0.00028503,0.00491836,0.00430072,0.0043699,0.02933479,0.00839711,0.01104961,0.00982337,0.0607498,0.00839711,0.01082255,0.00879825,0.06046477,0.06004331,0.02618975,0.02523697,0.01289771,1.0065558
USA,unitedstates,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.46164827,0.37134749,0.36354104,0.49391476,0.1244656,0.08634735,0.13319969,0.17270039,0.16298382,0.11306916,0.17442084,0.22614577,0.00403582,0.18979455,0.05707193,0.00462779,0.35714795,0.06746026,0.00631041,0.05460306,0.26792496,0.01159736,0.0425778,0.05306392,0,0.0093285,0.00379485,0.00673658,0.03246596,0.03767073,0.02891234,0.16531228,0.03511576,0.07895523,0.05875274,0.31584812,0.03511576,0.06962673,0.0549579,0.30911154,0.3520116,0.14036917,0.15259947,0.08371304,1.0059584
ROW,zz_row,184,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.33127944,0.2778522,0.31587223,0.42722098,0.12026532,0.09728651,0.1280145,0.18741513,0.15748369,0.12739365,0.16763099,0.24541426,0.05112835,0.28063377,0.05920944,0.00941365,0.41122415,0.07682983,0.01143501,0.06256999,0.31447729,0.02238872,0.0486099,0.06895102,0,0.01098745,-0.00266281,-0.02462539,0.03563269,0.04824636,0.02489852,0.09242156,0.04211317,0.11110851,0.06417323,0.24111164,0.04211317,0.10012106,0.06683603,0.26573703,0.28244072,0.11288664,0.11023837,0.0742175,1.0044133
AUT,austria,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.33979426,0.30140842,0.33954448,0.45935468,0.13002726,0.09616262,0.12693264,0.17059432,0.17026665,0.12592195,0.16621434,0.22338794,0.09063316,0.22409746,0.04518121,0.01430895,0.39731872,0.06487935,0.01823147,0.07074091,0.27833615,0.03817266,0.0483046,0.06018581,0,-0.00030943,0.00002038,-0.00010498,0.00084949,0.00093633,0.00058523,0.00321713,0.00114757,0.00261424,0.00141483,0.00702301,0.00114757,0.00292367,0.00139445,0.00712799,0.00808693,0.00327066,0.00327883,0.00202041,1.011114
CAN,canada,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.39772635,0.29058317,0.3497068,0.46062419,0.11161075,0.09097699,0.12151794,0.18128061,0.1461508,0.11913153,0.15912395,0.23738131,0.00783276,0.25955764,0.0771217,0.00742516,0.42747913,0.06440402,0.00899117,0.05495862,0.30570153,0.02133009,0.03366974,0.06571406,0,0.00057658,0.00016577,-0.00153333,0.00424207,0.00370454,0.00228657,0.01337328,0.00471647,0.00961441,0.00599351,0.0279406,0.00471647,0.00903784,0.00582774,0.02947393,0.03306574,0.01340646,0.01342739,0.00822098,1.0089165
CHN,china,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.22060215,0.13810616,0.18643494,0.32769639,0.09960895,0.09660963,0.13073908,0.16484024,0.13043481,0.1265073,0.17119874,0.21585315,0.00702245,0.27787129,0.26446036,0.00492904,0.50449199,0.12935589,0.0075243,0.09272981,0.41137314,0.02052936,0.12974023,0.14134062,0,-0.00522999,-0.00311195,0.00455606,0.01129449,0.01670629,0.00587636,0.01613372,0.01219677,0.05582577,0.03383539,0.06407304,0.01219677,0.06105577,0.03694734,0.05951698,0.06598011,0.02180504,0.02603577,0.02093498,1.0008663
CZE,czechrepublic,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.22821125,0.18829192,0.22324212,0.3727528,0.11131362,0.08002353,0.1058494,0.18288565,0.14576171,0.10478832,0.13860649,0.23948306,0.28084588,0.18617339,0.04769415,0.01253207,0.51075629,0.10360787,0.01634285,0.08463602,0.43132311,0.05050203,0.07883798,0.07553848,0,-0.00033357,0.0001182,0.00013962,0.00049161,0.00060288,0.00033456,0.00127457,0.00083302,0.00226631,0.00119297,0.00375369,0.00083302,0.00259989,0.00107476,0.00361407,0.00367009,0.00134263,0.00151282,0.00101902,1.0035358
DNK,denmark,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.44971563,0.37107702,0.39379926,0.52516225,0.08541444,0.06485949,0.10111125,0.14677451,0.11184755,0.08493148,0.13240203,0.19219664,0.02161463,0.28103726,0.05037049,0.01234595,0.39806232,0.06872375,0.01958653,0.05957304,0.29352789,0.04104912,0.03443675,0.06038073,0,0.00021346,-0.00020082,-0.00024116,0.00070141,0.00052025,0.0002952,0.00324552,0.00090268,0.00146142,0.00098505,0.00674079,0.00090268,0.00124796,0.00118587,0.00698195,0.00695082,0.00316711,0.00274962,0.00148383,1.0003584
FIN,finland,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.356297,0.28705294,0.32796,0.46941814,0.09352747,0.09542495,0.11265896,0.16155271,0.1224713,0.124956,0.1475234,0.21154824,0.08413665,0.28423248,0.0593351,0.00845396,0.40931077,0.07480137,0.01122194,0.07681489,0.3238208,0.03413468,0.04605394,0.07729229,0,-0.00032061,-0.00016422,0.00020771,0.00064241,0.00063497,0.00038763,0.00193372,0.00080352,0.00199257,0.00117561,0.00456777,0.00080352,0.00231318,0.00133983,0.00436007,0.0051608,0.00219993,0.00201062,0.0012451,1.0018478
FRA,france,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.37018445,0.31312944,0.37220815,0.4941793,0.11607402,0.07732508,0.10948077,0.16509708,0.15199532,0.10125478,0.14336165,0.21618948,0.12498517,0.18466892,0.05209212,0.00764549,0.41288193,0.08776328,0.00935027,0.07443017,0.291169,0.01604044,0.04777219,0.06072151,0,0.00009764,-0.00032953,0.00074645,0.00608939,0.0044045,0.00437524,0.02555306,0.00764584,0.01324498,0.01062259,0.05165585,0.00764584,0.01314734,0.01095212,0.05090941,0.05647401,0.02328258,0.02376503,0.01322785,1.0022822
DEU,germany,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.38557821,0.33855098,0.36684055,0.46608352,0.11426629,0.07877679,0.1231783,0.19025535,0.14962815,0.10315575,0.16129814,0.24913345,0.04250889,0.23595652,0.07206195,0.00822969,0.40761666,0.06367015,0.01005928,0.05902299,0.27960075,0.0183225,0.03574658,0.04045861,0,-0.00616525,-0.00087199,0.00317209,0.00510215,0.0097204,0.00631632,0.02835323,0.00624444,0.02613986,0.01400027,0.06211031,0.00624444,0.03230511,0.01487225,0.05893822,0.07254808,0.03053691,0.02907204,0.0173428,1.0066455
GRC,greece,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.24905343,0.26214322,0.30887004,0.33438892,0.17651215,0.13958179,0.18446997,0.23891,0.23113716,0.18277801,0.24155767,0.3128452,0.0049588,0.29421259,0.04412587,0.01443065,0.3392882,0.06177812,0.01475776,0.05960674,0.19073783,0.01732987,0.03629064,0.06023537,0,0.00055071,0.00030704,0.00023568,0.00074299,0.00070609,0.00090396,0.00305845,0.0008239,0.00140323,0.00136476,0.00534649,0.0008239,0.00085252,0.00105772,0.00511081,0.0065114,0.00169928,0.00332727,0.00198815,1.0024864
IND,india,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.35373758,0.15428985,0.17176474,0.26578223,0.12230994,0.15725282,0.19129364,0.2747376,0.16016106,0.20591766,0.25049305,0.35976032,0.03105504,0.29746944,0.03526695,0.01710348,0.4033586,0.06207758,0.01521396,0.04763944,0.32359516,0.01495494,0.03720093,0.04756398,0,0.00059091,-0.00043962,0.00059762,0.00366102,0.00265149,0.002629,0.00799089,0.00409789,0.00701651,0.0054203,0.01887747,0.00409789,0.0064256,0.00585992,0.01827985,0.02206197,0.00541251,0.01054232,0.00745606,1.0005162
ITA,italy,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.25698302,0.27416379,0.26916106,0.35877923,0.15707067,0.10613287,0.12142916,0.21012561,0.20567915,0.13897768,0.15900771,0.27515293,0.0969846,0.23734084,0.04594172,0.01361576,0.38769481,0.07941508,0.01630075,0.0813216,0.35277972,0.02557311,0.05476243,0.0756067,0,-0.00097464,-0.00015674,0.00158207,0.00531115,0.00661998,0.00546099,0.01744257,0.00684498,0.01726099,0.01309924,0.04291024,0.00684498,0.01823563,0.01325598,0.04132817,0.04706193,0.01601701,0.02063084,0.01332325,1.0050646
JPN,japan,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.46124373,0.2665205,0.30403859,0.46134495,0.10049399,0.0933444,0.14239732,0.18557571,0.13159375,0.12223159,0.18646485,0.2430056,0.00586303,0.25454689,0.04625861,0.00696983,0.44905335,0.06188033,0.00833903,0.0413752,0.317385,0.01519061,0.02581254,0.06907059,0,-0.00717399,0.0010976,0.00482335,0.01402406,0.01401459,0.01006554,0.04246277,0.01521298,0.04175981,0.02351065,0.08547636,0.01521298,0.0489338,0.02241305,0.08065301,0.11089628,0.04423794,0.04534932,0.02798108,0.99963401
MEX,mexico,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.25492285,0.1656091,0.21985811,0.2908334,0.17314335,0.13091523,0.20358856,0.26589463,0.22672582,0.17142942,0.26659287,0.34818073,0.06586158,0.22665329,0.05269311,0.00165961,0.4298762,0.10051044,0.00248492,0.05250574,0.25496981,0.00211364,0.03931271,0.05366489,0,-0.00008257,0.00072065,-0.00034079,0.00301403,0.00279391,0.00370057,0.0079792,0.00327413,0.00737566,0.00655742,0.01544636,0.00327413,0.00745823,0.00583677,0.01578715,0.02365558,0.00577279,0.011409,0.00795734,1.004044
POL,poland,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.19099507,0.21557292,0.24401491,0.31616428,0.13964864,0.11209292,0.14125969,0.21360219,0.18286554,0.14678219,0.18497516,0.27970541,0.18329399,0.18960357,0.11359319,0.02230134,0.40089971,0.10235091,0.01868213,0.08325903,0.32780906,0.03391752,0.07271172,0.08389889,0,-0.00010923,0.00017441,0.00006665,0.00083402,0.00109093,0.00109012,0.00313234,0.00128955,0.00301309,0.00261268,0.00763955,0.00128955,0.00312233,0.00243827,0.0075729,0.00835287,0.00248362,0.00386662,0.00253895,1.0122156
ROU,romania,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.26739141,0.30396414,0.28909106,0.32983691,0.16269771,0.12435871,0.14998604,0.19722915,0.21304757,0.16284385,0.19640205,0.25826542,0.08887432,0.20136841,0.06662058,0.00982425,0.30217831,0.09683075,0.00709431,0.06036829,0.29705825,0.01286042,0.08149433,0.12031376,0,0.00019392,0.00011477,0.0001327,0.0003115,0.00056083,0.0003762,0.00127187,0.00037248,0.00102221,0.00083105,0.00276282,0.00037248,0.00082829,0.00071628,0.00263012,0.00299129,0.00093418,0.00140798,0.00085846,1.0095847
KOR,southkorea,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.33906948,0.17673874,0.23737972,0.37724989,0.11047279,0.08656133,0.12858398,0.20071553,0.14466067,0.11334936,0.16837672,0.26283073,0.00258339,0.34573562,0.05747805,0.00265318,0.54612256,0.07457483,0.00495158,0.05008174,0.41062625,0.0140859,0.04846138,0.09665658,0,-0.00230222,-0.00002178,0.002048,0.0036465,0.0039999,0.00240083,0.00773637,0.0038232,0.01595502,0.00770458,0.02000554,0.0038232,0.01825724,0.00772636,0.01795754,0.02367089,0.00850311,0.00974926,0.00670614,0.99971163
ESP,spain,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.23674636,0.26421878,0.31330487,0.41937196,0.08204038,0.08317144,0.11092769,0.1775927,0.10742932,0.10891041,0.14525635,0.2325521,0.35933838,0.18450855,0.02993701,0.01227683,0.43597217,0.09545036,0.01907988,0.08162572,0.32980549,0.03542891,0.04861518,0.08643916,0,0.00132871,0.00048952,0.00023432,0.00585912,0.00357829,0.00304016,0.01201664,0.01018836,0.01069519,0.00760407,0.0254316,0.01018836,0.00936649,0.00711455,0.02519728,0.03077613,0.01205705,0.01283101,0.00780056,1.0086671
SWE,sweden,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.49979963,0.34068327,0.37585116,0.51249292,0.06974477,0.08142315,0.1133699,0.13757586,0.09132861,0.10662108,0.14845435,0.18015131,0.02369922,0.27502149,0.04040628,0.01749617,0.38781249,0.06596384,0.01848984,0.08384828,0.25998646,0.03766635,0.07360179,0.05851177,0,-0.00052171,-0.0001626,-0.00006323,0.00077566,0.00114602,0.00063081,0.00403038,0.00105719,0.00341678,0.00164203,0.00916658,0.00105719,0.00393849,0.00180462,0.00922981,0.00991054,0.00464637,0.00374232,0.00211391,1.0010803
GBR,unitedkingdom,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.30351724,0.40651945,0.45312641,0.52512605,0.10415915,0.06584575,0.0918672,0.14405276,0.13639316,0.08622296,0.12029723,0.1886326,0.29841763,0.11090879,0.04660402,0.01032953,0.35290049,0.07818183,0.01151983,0.06212142,0.26106791,0.02615345,0.04997402,0.06606112,0,0.00004546,0.00089935,0.00041987,0.00502842,0.00434147,0.00435781,0.02994255,0.0085822,0.01130424,0.00995154,0.06205347,0.0085822,0.01125878,0.0090522,0.06163359,0.06129203,0.02678667,0.02570615,0.01315598,1.0016976
USA,unitedstates,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.46164827,0.37134749,0.36354104,0.49391476,0.1244656,0.08634735,0.13319969,0.17270039,0.16298382,0.11306916,0.17442084,0.22614577,0.00403582,0.18979455,0.05707193,0.00462779,0.35714795,0.06746026,0.00631041,0.05460306,0.26792496,0.01159736,0.0425778,0.05306392,0,0.00898521,0.00366187,0.00671118,0.03098143,0.03768973,0.02902228,0.16205556,0.03358691,0.07850745,0.05858855,0.31028372,0.03358691,0.06952224,0.05492668,0.30357253,0.34615911,0.13801723,0.1500961,0.08231616,1.0043105
ROW,zz_row,185,0.98725854,0.32937685,0.07558121,0.59504194,0.5,0.55,0.0101536,0.02599625,2,2,0.33127944,0.2778522,0.31587223,0.42722098,0.12026532,0.09728651,0.1280145,0.18741513,0.15748369,0.12739365,0.16763099,0.24541426,0.05112835,0.28063377,0.05920944,0.00941365,0.41122415,0.07682983,0.01143501,0.06256999,0.31447729,0.02238872,0.0486099,0.06895102,0,0.01094062,-0.00231031,-0.02338989,0.03635369,0.04945128,0.0254885,0.09321422,0.04289557,0.11359347,0.06517893,0.24323626,0.04289557,0.10265286,0.06748924,0.26662615,0.28497345,0.11386644,0.11134474,0.07483969,1.011114
